#ies_format_version: 1.0
#file: 20250718_5000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	healthStatus;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	breakerPosition;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#006;	frequency;	FALSE;	TRUE;	0;	other;	FLOAT,9. -
YYYYMMDD;	hhmmss;	unixtimestamp;	healthStatus;	breakerPosition;	frequency
20250718;	102440;	1752814480.000;	  err9;	  err9;	     err9
20250718;	102445;	1752814485.000;	  err9;	  err9;	     err9
20250718;	102450;	1752814490.000;	  err9;	  err9;	     err9
20250718;	102455;	1752814495.000;	  err9;	  err9;	     err9
20250718;	102500;	1752814500.000;	  err9;	  err9;	     err9
20250718;	102505;	1752814505.000;	  err9;	  err9;	     err9
20250718;	102510;	1752814510.000;	  err9;	  err9;	     err9
20250718;	102515;	1752814515.000;	  err9;	  err9;	     err9
20250718;	102520;	1752814520.000;	  err9;	  err9;	     err9
20250718;	102525;	1752814525.000;	  err9;	  err9;	     err9
20250718;	102530;	1752814530.000;	  err9;	  err9;	     err9
20250718;	102535;	1752814535.000;	  err9;	  err9;	     err9
20250718;	102540;	1752814540.000;	  err9;	  err9;	     err9
20250718;	102545;	1752814545.000;	  err9;	  err9;	     err9
20250718;	102550;	1752814550.000;	  err9;	  err9;	     err9
20250718;	102555;	1752814555.000;	  err9;	  err9;	     err9
20250718;	102600;	1752814560.000;	  err9;	  err9;	     err9
20250718;	102605;	1752814565.000;	  err9;	  err9;	     err9
20250718;	102610;	1752814570.000;	  err9;	  err9;	     err9
20250718;	102615;	1752814575.000;	  err9;	  err9;	     err9
20250718;	102620;	1752814580.000;	  err9;	  err9;	     err9
20250718;	102625;	1752814585.000;	  err9;	  err9;	     err9
20250718;	102630;	1752814590.000;	  err9;	  err9;	     err9
20250718;	102635;	1752814595.000;	  err9;	  err9;	     err9
20250718;	102640;	1752814600.000;	  err9;	  err9;	     err9
20250718;	102645;	1752814605.000;	  err9;	  err9;	     err9
20250718;	102650;	1752814610.000;	  err9;	  err9;	     err9
20250718;	102655;	1752814615.000;	  err9;	  err9;	     err9
20250718;	102700;	1752814620.000;	  err9;	  err9;	     err9
20250718;	102705;	1752814625.000;	  err9;	  err9;	     err9
20250718;	102710;	1752814630.000;	  err9;	  err9;	     err9
20250718;	102715;	1752814635.000;	  err9;	  err9;	     err9
20250718;	102720;	1752814640.000;	 err32;	 err32;	    err32
20250718;	102725;	1752814645.000;	 err32;	 err32;	    err32
20250718;	102730;	1752814650.000;	 err32;	 err32;	    err32
20250718;	102735;	1752814655.000;	 err32;	 err32;	    err32
20250718;	102740;	1752814660.000;	 err32;	 err32;	    err32
20250718;	102745;	1752814665.000;	 err32;	 err32;	    err32
20250718;	102750;	1752814670.000;	 err32;	 err32;	    err32
